Handle,TweetID,Tweet,Sample1,Sample2,Sample3
business,1200236726603730945,"-The bad news is getting worse for India’s economy
-China is making a habit of issuing vague retaliation threats
-T… https://t.co/JXCHokdw0u",0,0,1
business,1200236198838583296,"The Philippines is bracing for floods and landslides from Typhoon Kammuri, potentially hitting the area where the S… https://t.co/Tk1e30NXx7",0,0,1
business,1200235940154945537,"Investors considering emerging market stocks should wait for a weaker dollar and a money supply jump in China, Citi… https://t.co/HkniXgqs1p",0,0,1
business,1200233957100572673,Japan looks set to again embrace the power of public spending https://t.co/RajJSBEjIh https://t.co/XPdSUMbas4,0,0,1
business,1200233144475115520,Mexico's central bank signals rate cuts will only come gradually https://t.co/mFMJE5g2Yh https://t.co/JKnBXXVAht,0,0,1
business,1200232354813480963,North Korea fired two short-range ballistic missiles and could be planning even bigger moves https://t.co/tSKc2XunqK,0,0,1
business,1200231407521615873,"About 11,000 scientists call for population control in mass climate alarm https://t.co/d1o4B8l9dh",0,0,1
business,1200229306137481218,The outgoing head of Canada’s second largest pension fund says U.S.-China tensions are here to stay https://t.co/s1or7zFyku,0,0,1
business,1200228658000125953,The WeWork fiasco raises questions about Softbank's wide portfolio of startups and their valuations https://t.co/zI7WLaEh7U,0,0,1
business,1200227766496571392,South Korea’s $145 billion sovereign wealth fund plans to add to bonds and cut shares to protect double-digit retur… https://t.co/cW16HOyOXZ,0,0,1
business,1200224621284356098,"Speak up, know what you're worth and do some homework. Female executives offer tips on how women can negotiate for… https://t.co/1b5zvQlGEI",0,0,1
business,1200223698596356096,"Brazilian state development bank BNDES will likely sell part of its stake in JBS, the world's biggest meat supplier https://t.co/CjVoZJSu7r",0,0,1
LVcares,1200141518599839744,"@davidvitty @nicole_pirog Hi Dave, I'm sorry to hear this. If you can email your details to LVCares@LV.com we will… https://t.co/3fnj1v5dKt",0,0,1
LVcares,1200086507182313472,"@jojowiththeflow Hi Jo, this is great to hear! If you could please just DM us some of the details I'll be sure to p… https://t.co/4Et6LWIr5F",0,0,1
LVcares,1199326709251760128,"@MIKE_SANDERS @lvsucks Hi Mike, sorry to hear you've not heard back. Please could you email your details to LVCares… https://t.co/ZaJY8Peg9z",0,0,1
LVcares,1199324382608461824,"@DeeFlodluva13 Hi, thank you for your lovely feedback. I'm so glad to hear that we were able to make such a difficu… https://t.co/CaVEiXYk5W",0,0,1
LVcares,1197548064812273665,"@casnikmeg Hello Karen, unfortunately we don't have any home live chat agents available at the moment but home live… https://t.co/hpqcNjW7jw",0,0,1
LVcares,1197177875306336257,"@MIKE_SANDERS Hello Mike, the email address for motor claims is customerclaims@lv.com.  Kind regards, ^SVJ",0,0,1
LVcares,1197109423237451777,"@MikeCollings2 Hi Mike, our breakdown cover is only applicable to a vehicle that is roadworthy, this includes a val… https://t.co/xMsyxQdiZi",0,0,1
LVcares,1194555015790288896,"@spookychews Hi Sonia, I have received your email and have forwarded to the claims complaints team. Many thanks, David.",0,0,1
LVcares,1194545584553832448,"@spookychews Hi, the LVCares@lv.com email address will not send a standard reply, it may be that you are using a di… https://t.co/wyjq2GuyRB",0,0,1
LVcares,1194535304952197120,"@spookychews Hi Sonia, I'm sorry to hear this. As previously confirmed, If you'd like to email your details to LVCa… https://t.co/yhoFH2hDCD",0,0,1
LVcares,1194204814873440256,"@voiceofrowing Hi Robert, sorry if you do not find us to be competitive this year. Sadly we are unable to match quo… https://t.co/pGtsDKfRRj",0,0,1
LVcares,1193804402294972422,"@Phunkin_El Hi, thank you for your contact. Please can you email the details to LVCares@lv.com. ^Felicity.",0,0,1
LVcares,1193094351909462016,"@MattHarwood Hello Matt, I'm sorry to read this. If you can please email the details to LVCares@lv.com we'll be hap… https://t.co/B0yPR2mfPU",0,0,1
LVcares,1192358432919228416,"@davidjonesrhos Hello David, thank you for your tweet. I am sorry to hear this, if there is anything further you wo… https://t.co/wZJGVo7oA2",0,0,1
LVcares,1190205885269893120,"@carlinamk Thank you for your message. In the unlikely event that LV= became insolvent, policyholders are protected… https://t.co/0mr40u0v8P",0,0,1
LVcares,1189605416927485952,"@j3g6h5v8y5k Hi, thanks for your message. Yes you can add a temp driver for 2-42 days at a time. If you call us on… https://t.co/t6P4VHtqrp",0,0,1
LVcares,1189240064875913217,"@colin_ralph Hi Colin, I'm sorry that this has been the case. If you email your details to LVCares@lv.com, I will b… https://t.co/acEksVnH7Y",0,0,1
LVcares,1188901947316822017,@PickUpAPerPer Hi. If your membership expires midway through your policy then you would need to contact us on 0800… https://t.co/h62d4AeRt1,0,0,1
LVcares,1187362633416089600,"@theurbansnapper Hi, we would like to look into this for you but we would need the details to enable us to do so. P… https://t.co/2RgJGGMmIk",0,0,1
LVcares,1187272015180435456,"@theurbansnapper Hi, if there is anything we can help with then please email us at LVCares@lv.com. ^Felicity.",0,0,1
